neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
Fairgrounds,Entire home/apt,,20,3,Multi-listing Host
Mid-City,Entire home/apt,105.0,48,7,Multi-listing Host
Central City,Private room,,14,1,Single-listing Host
Fillmore,Entire home/apt,439.0,96,2,Multi-listing Host
Seventh Ward,Entire home/apt,,281,1,Single-listing Host
Uptown,Entire home/apt,499.0,7,1,Single-listing Host
Treme - Lafitte,Entire home/apt,,358,1,Single-listing Host
Marigny,Entire home/apt,113.0,206,1,Single-listing Host
Seventh Ward,Entire home/apt,150.0,86,1,Single-listing Host
Lower Garden District,Entire home/apt,211.0,312,2,Multi-listing Host
Seventh Ward,Entire home/apt,136.0,288,1,Single-listing Host
St. Claude,Entire home/apt,325.0,34,2,Multi-listing Host
Bywater,Entire home/apt,150.0,306,1,Single-listing Host
East Riverside,Entire home/apt,120.0,262,1,Single-listing Host
Mid-City,Entire home/apt,232.0,45,1,Single-listing Host
Bayou St. John,Private room,,237,1,Single-listing Host
Seventh Ward,Entire home/apt,180.0,202,25,Multi-listing Host
Seventh Ward,Entire home/apt,326.0,186,2,Multi-listing Host
City Park,Entire home/apt,,183,1,Single-listing Host
Bywater,Private room,300.0,72,1,Single-listing Host
Leonidas,Entire home/apt,175.0,186,1,Single-listing Host
Seventh Ward,Entire home/apt,128.0,147,2,Multi-listing Host
Bayou St. John,Entire home/apt,136.0,68,2,Multi-listing Host
Leonidas,Entire home/apt,207.0,8,1,Single-listing Host
East Riverside,Entire home/apt,,84,1,Single-listing Host
Irish Channel,Entire home/apt,108.0,362,1,Single-listing Host
Marigny,Entire home/apt,639.0,274,1,Single-listing Host
Bayou St. John,Entire home/apt,,54,1,Single-listing Host
Seventh Ward,Private room,36.0,154,2,Multi-listing Host
Mid-City,Private room,91.0,84,1,Single-listing Host
Black Pearl,Entire home/apt,157.0,43,1,Single-listing Host
Lower Garden District,Private room,,152,1,Single-listing Host
Leonidas,Entire home/apt,,43,1,Single-listing Host
Seventh Ward,Entire home/apt,69.0,655,1,Single-listing Host
Central City,Entire home/apt,134.0,389,57,Multi-listing Host
Central City,Entire home/apt,152.0,423,57,Multi-listing Host
Central Business District,Entire home/apt,144.0,183,2,Multi-listing Host
Bywater,Entire home/apt,67.0,277,1,Single-listing Host
Fairgrounds,Entire home/apt,141.0,147,1,Single-listing Host
Mid-City,Entire home/apt,242.0,347,4,Multi-listing Host
Central City,Entire home/apt,,107,2,Multi-listing Host
Whitney,Entire home/apt,338.0,105,1,Single-listing Host
St. Roch,Private room,,241,3,Multi-listing Host
West Riverside,Entire home/apt,332.0,61,1,Single-listing Host
French Quarter,Entire home/apt,189.0,114,1,Single-listing Host
Bywater,Entire home/apt,180.0,217,1,Single-listing Host
French Quarter,Entire home/apt,150.0,33,1,Single-listing Host
St. Claude,Entire home/apt,100.0,83,4,Multi-listing Host
Irish Channel,Entire home/apt,,96,1,Single-listing Host
Marigny,Entire home/apt,,62,2,Multi-listing Host
Treme - Lafitte,Private room,69.0,183,2,Multi-listing Host
French Quarter,Entire home/apt,95.0,5,1,Single-listing Host
Lakeview,Private room,71.0,83,1,Single-listing Host
Lower Garden District,Entire home/apt,105.0,256,1,Single-listing Host
Central City,Entire home/apt,149.0,94,3,Multi-listing Host
Central City,Entire home/apt,215.0,254,4,Multi-listing Host
Central City,Entire home/apt,,107,4,Multi-listing Host
City Park,Entire home/apt,65.0,13,1,Single-listing Host
Bywater,Entire home/apt,294.0,122,2,Multi-listing Host
Freret,Entire home/apt,214.0,28,1,Single-listing Host
Algiers Point,Entire home/apt,219.0,16,2,Multi-listing Host
St. Claude,Entire home/apt,,430,1,Single-listing Host
Marigny,Private room,208.0,41,6,Multi-listing Host
City Park,Entire home/apt,,3,1,Single-listing Host
Marigny,Hotel room,183.0,36,6,Multi-listing Host
Marigny,Private room,171.0,56,6,Multi-listing Host
West Riverside,Entire home/apt,85.0,228,1,Single-listing Host
Uptown,Private room,,122,1,Single-listing Host
Fairgrounds,Entire home/apt,,20,1,Single-listing Host
Central Business District,Entire home/apt,251.0,96,6,Multi-listing Host
Central Business District,Entire home/apt,164.0,184,6,Multi-listing Host
Lower Garden District,Entire home/apt,139.0,389,1,Single-listing Host
Central Business District,Private room,,82,10,Multi-listing Host
Bywater,Entire home/apt,,44,2,Multi-listing Host
Fillmore,Entire home/apt,179.0,33,1,Single-listing Host
Treme - Lafitte,Private room,150.0,137,3,Multi-listing Host
Seventh Ward,Private room,155.0,104,3,Multi-listing Host
Milan,Entire home/apt,100.0,60,1,Single-listing Host
Treme - Lafitte,Entire home/apt,162.0,149,1,Single-listing Host
Central City,Entire home/apt,85.0,395,5,Multi-listing Host
East Riverside,Entire home/apt,75.0,160,4,Multi-listing Host
