neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
West Town,Entire home/apt,147.0,49,3,Multi-listing Host
Lincoln Square,Entire home/apt,120.0,6,3,Multi-listing Host
Archer Heights,Entire home/apt,75.0,72,1,Single-listing Host
West Town,Entire home/apt,165.0,91,21,Multi-listing Host
West Town,Entire home/apt,529.0,110,27,Multi-listing Host
Near North Side,Entire home/apt,1203.0,53,1,Single-listing Host
Irving Park,Entire home/apt,91.0,52,21,Multi-listing Host
West Town,Entire home/apt,262.0,74,1,Single-listing Host
Hermosa,Entire home/apt,120.0,4,2,Multi-listing Host
Loop,Entire home/apt,133.0,0,59,Multi-listing Host
West Town,Entire home/apt,184.0,2,9,Multi-listing Host
North Lawndale,Entire home/apt,64.0,0,1,Single-listing Host
Loop,Entire home/apt,90.0,1,1,Single-listing Host
West Town,Entire home/apt,1579.0,7,2,Multi-listing Host
Jefferson Park,Entire home/apt,279.0,49,1,Single-listing Host
Loop,Private room,117.0,69,17,Multi-listing Host
Loop,Private room,117.0,13,17,Multi-listing Host
Loop,Private room,117.0,9,17,Multi-listing Host
Lower West Side,Entire home/apt,100.0,101,1,Single-listing Host
Near West Side,Entire home/apt,500.0,18,1,Single-listing Host
Woodlawn,Entire home/apt,110.0,2,1,Single-listing Host
Washington Park,Entire home/apt,179.0,0,1,Single-listing Host
Logan Square,Entire home/apt,250.0,39,1,Single-listing Host
North Center,Entire home/apt,247.0,0,7,Multi-listing Host
Lower West Side,Entire home/apt,63.0,48,1,Single-listing Host
Lake View,Entire home/apt,,5,8,Multi-listing Host
Portage Park,Private room,72.0,13,22,Multi-listing Host
Lincoln Park,Entire home/apt,334.0,111,1,Single-listing Host
Near North Side,Entire home/apt,132.0,0,1,Single-listing Host
Grand Boulevard,Entire home/apt,349.0,18,1,Single-listing Host
Near West Side,Entire home/apt,125.0,0,59,Multi-listing Host
Logan Square,Private room,89.0,72,1,Single-listing Host
Austin,Private room,83.0,5,3,Multi-listing Host
Clearing,Entire home/apt,399.0,0,9,Multi-listing Host
Norwood Park,Entire home/apt,,0,9,Multi-listing Host
West Town,Entire home/apt,110.0,42,1,Single-listing Host
Mckinley Park,Entire home/apt,31.0,0,1,Single-listing Host
Avondale,Entire home/apt,66.0,91,8,Multi-listing Host
Avondale,Entire home/apt,68.0,81,8,Multi-listing Host
Lincoln Square,Entire home/apt,74.0,74,9,Multi-listing Host
Near North Side,Entire home/apt,165.0,7,1,Single-listing Host
Woodlawn,Entire home/apt,160.0,51,6,Multi-listing Host
South Lawndale,Private room,53.0,24,6,Multi-listing Host
Chatham,Entire home/apt,205.0,0,9,Multi-listing Host
North Center,Entire home/apt,105.0,62,2,Multi-listing Host
Englewood,Entire home/apt,68.0,3,2,Multi-listing Host
Englewood,Entire home/apt,68.0,6,2,Multi-listing Host
Near North Side,Entire home/apt,260.0,130,24,Multi-listing Host
Lincoln Square,Entire home/apt,132.0,36,3,Multi-listing Host
South Chicago,Entire home/apt,350.0,30,1,Single-listing Host
West Town,Entire home/apt,250.0,0,1,Single-listing Host
Near South Side,Entire home/apt,146.0,52,23,Multi-listing Host
Humboldt Park,Entire home/apt,145.0,34,1,Single-listing Host
Near West Side,Entire home/apt,83.0,127,6,Multi-listing Host
Near South Side,Entire home/apt,238.0,15,7,Multi-listing Host
Lincoln Square,Entire home/apt,60.0,70,9,Multi-listing Host
Hyde Park,Entire home/apt,404.0,17,2,Multi-listing Host
Bridgeport,Entire home/apt,107.0,105,3,Multi-listing Host
Grand Boulevard,Entire home/apt,,5,5,Multi-listing Host
West Town,Entire home/apt,59.0,43,8,Multi-listing Host
Irving Park,Entire home/apt,300.0,11,2,Multi-listing Host
Woodlawn,Entire home/apt,279.0,79,2,Multi-listing Host
North Center,Entire home/apt,250.0,10,3,Multi-listing Host
Near North Side,Entire home/apt,149.0,38,15,Multi-listing Host
Near North Side,Entire home/apt,145.0,48,15,Multi-listing Host
Dunning,Entire home/apt,438.0,40,1,Single-listing Host
West Town,Entire home/apt,224.0,16,10,Multi-listing Host
Logan Square,Entire home/apt,216.0,32,2,Multi-listing Host
Near North Side,Entire home/apt,,1,520,Multi-listing Host
Bridgeport,Entire home/apt,114.0,101,1,Single-listing Host
Albany Park,Private room,42.0,23,7,Multi-listing Host
Greater Grand Crossing,Entire home/apt,178.0,45,1,Single-listing Host
Lake View,Entire home/apt,58.0,176,7,Multi-listing Host
Logan Square,Entire home/apt,71.0,225,10,Multi-listing Host
Lake View,Entire home/apt,66.0,72,10,Multi-listing Host
West Town,Entire home/apt,80.0,114,10,Multi-listing Host
Logan Square,Entire home/apt,69.0,195,10,Multi-listing Host
Near West Side,Entire home/apt,157.0,4,1,Single-listing Host
Lincoln Park,Entire home/apt,126.0,132,10,Multi-listing Host
Lake View,Entire home/apt,62.0,204,7,Multi-listing Host
Lake View,Entire home/apt,609.0,77,1,Single-listing Host
Uptown,Entire home/apt,58.0,108,7,Multi-listing Host
Lake View,Entire home/apt,58.0,82,7,Multi-listing Host
Lake View,Entire home/apt,83.0,124,7,Multi-listing Host
Lake View,Entire home/apt,77.0,126,9,Multi-listing Host
Lake View,Entire home/apt,90.0,71,6,Multi-listing Host
Lake View,Entire home/apt,58.0,63,8,Multi-listing Host
Lake View,Entire home/apt,75.0,124,9,Multi-listing Host
Lake View,Entire home/apt,86.0,106,10,Multi-listing Host
Lake View,Entire home/apt,58.0,58,6,Multi-listing Host
Lake View,Entire home/apt,66.0,114,10,Multi-listing Host
West Town,Entire home/apt,100.0,2,520,Multi-listing Host
Hermosa,Entire home/apt,129.0,10,2,Multi-listing Host
Logan Square,Entire home/apt,237.0,26,1,Single-listing Host
North Center,Private room,155.0,0,1,Single-listing Host
Near South Side,Entire home/apt,118.0,0,520,Multi-listing Host
Edgewater,Entire home/apt,70.0,1,1,Single-listing Host
West Town,Entire home/apt,583.0,36,5,Multi-listing Host
Humboldt Park,Entire home/apt,78.0,78,4,Multi-listing Host
Loop,Private room,117.0,50,17,Multi-listing Host
Near West Side,Entire home/apt,266.0,40,2,Multi-listing Host
Irving Park,Entire home/apt,255.0,55,1,Single-listing Host
Douglas,Entire home/apt,180.0,56,1,Single-listing Host
Irving Park,Entire home/apt,97.0,91,9,Multi-listing Host
West Town,Entire home/apt,96.0,57,5,Multi-listing Host
Uptown,Entire home/apt,101.0,26,15,Multi-listing Host
West Town,Entire home/apt,80.0,12,15,Multi-listing Host
Chicago Lawn,Entire home/apt,130.0,109,2,Multi-listing Host
West Town,Entire home/apt,273.0,58,4,Multi-listing Host
Kenwood,Entire home/apt,182.0,30,2,Multi-listing Host
Lower West Side,Entire home/apt,90.0,12,1,Single-listing Host
Lincoln Square,Entire home/apt,195.0,19,1,Single-listing Host
Near South Side,Entire home/apt,186.0,86,23,Multi-listing Host
Albany Park,Entire home/apt,162.0,20,1,Single-listing Host
Washington Park,Entire home/apt,,18,1,Single-listing Host
Washington Heights,Entire home/apt,243.0,24,2,Multi-listing Host
West Englewood,Private room,29.0,3,9,Multi-listing Host
Loop,Entire home/apt,122.0,1,520,Multi-listing Host
Loop,Entire home/apt,96.0,0,520,Multi-listing Host
Calumet Heights,Entire home/apt,95.0,16,5,Multi-listing Host
Near West Side,Entire home/apt,157.0,163,1,Single-listing Host
Beverly,Private room,49.0,17,2,Multi-listing Host
Loop,Entire home/apt,98.0,0,1,Single-listing Host
Humboldt Park,Private room,,30,4,Multi-listing Host
Loop,Private room,117.0,43,17,Multi-listing Host
Lake View,Entire home/apt,79.0,0,1,Single-listing Host
Avondale,Entire home/apt,150.0,43,1,Single-listing Host
Auburn Gresham,Entire home/apt,123.0,91,1,Single-listing Host
Avondale,Entire home/apt,140.0,14,1,Single-listing Host
Near North Side,Hotel room,143.0,83,16,Multi-listing Host
West Town,Entire home/apt,353.0,61,2,Multi-listing Host
Lake View,Entire home/apt,96.0,0,3,Multi-listing Host
Auburn Gresham,Entire home/apt,211.0,0,4,Multi-listing Host
Lincoln Park,Entire home/apt,180.0,83,3,Multi-listing Host
Rogers Park,Private room,75.0,32,1,Single-listing Host
Irving Park,Entire home/apt,100.0,87,1,Single-listing Host
Edgewater,Entire home/apt,176.0,18,1,Single-listing Host
Lake View,Entire home/apt,57.0,93,21,Multi-listing Host
Bridgeport,Entire home/apt,137.0,41,1,Single-listing Host
West Elsdon,Entire home/apt,100.0,6,1,Single-listing Host
Lake View,Entire home/apt,,51,1,Single-listing Host
Logan Square,Entire home/apt,116.0,90,2,Multi-listing Host
West Garfield Park,Private room,45.0,24,5,Multi-listing Host
Lincoln Park,Private room,94.0,0,6,Multi-listing Host
Irving Park,Entire home/apt,117.0,125,2,Multi-listing Host
Edgewater,Entire home/apt,,10,1,Single-listing Host
Logan Square,Entire home/apt,148.0,50,4,Multi-listing Host
Lincoln Park,Entire home/apt,225.0,125,21,Multi-listing Host
West Lawn,Entire home/apt,91.0,7,1,Single-listing Host
Loop,Entire home/apt,104.0,1,520,Multi-listing Host
West Town,Entire home/apt,308.0,73,4,Multi-listing Host
West Town,Entire home/apt,175.0,57,1,Single-listing Host
Albany Park,Entire home/apt,667.0,81,1,Single-listing Host
Logan Square,Entire home/apt,157.0,78,1,Single-listing Host
Logan Square,Entire home/apt,,33,2,Multi-listing Host
Near South Side,Entire home/apt,196.0,1,520,Multi-listing Host
Hermosa,Private room,52.0,3,2,Multi-listing Host
Lincoln Square,Entire home/apt,160.0,3,1,Single-listing Host
Oakland,Entire home/apt,,71,2,Multi-listing Host
Near West Side,Entire home/apt,100.0,111,2,Multi-listing Host
South Shore,Private room,100.0,42,1,Single-listing Host
Bridgeport,Private room,110.0,18,5,Multi-listing Host
Uptown,Entire home/apt,78.0,80,8,Multi-listing Host
Edgewater,Entire home/apt,115.0,117,8,Multi-listing Host
Uptown,Entire home/apt,65.0,84,8,Multi-listing Host
Rogers Park,Entire home/apt,66.0,61,8,Multi-listing Host
Rogers Park,Entire home/apt,83.0,59,8,Multi-listing Host
Lincoln Park,Private room,80.0,0,6,Multi-listing Host
Logan Square,Private room,53.0,84,2,Multi-listing Host
West Town,Entire home/apt,250.0,6,1,Single-listing Host
Humboldt Park,Private room,,18,4,Multi-listing Host
Chatham,Entire home/apt,122.0,39,1,Single-listing Host
Near South Side,Entire home/apt,237.0,62,68,Multi-listing Host
Near North Side,Entire home/apt,112.0,0,520,Multi-listing Host
Uptown,Entire home/apt,58.0,154,6,Multi-listing Host
Portage Park,Entire home/apt,82.0,61,8,Multi-listing Host
South Shore,Entire home/apt,194.0,21,1,Single-listing Host
Grand Boulevard,Entire home/apt,90.0,5,5,Multi-listing Host
Lake View,Entire home/apt,204.0,52,20,Multi-listing Host
Near South Side,Entire home/apt,128.0,32,23,Multi-listing Host
West Ridge,Private room,,0,13,Multi-listing Host
Near South Side,Entire home/apt,357.0,51,7,Multi-listing Host
Lake View,Entire home/apt,113.0,0,520,Multi-listing Host
Portage Park,Private room,,2,3,Multi-listing Host
Loop,Entire home/apt,125.0,0,520,Multi-listing Host
Woodlawn,Entire home/apt,169.0,84,2,Multi-listing Host
Logan Square,Entire home/apt,164.0,77,1,Single-listing Host
Chatham,Entire home/apt,89.0,4,1,Single-listing Host
Near South Side,Entire home/apt,134.0,56,23,Multi-listing Host
Bridgeport,Private room,,15,5,Multi-listing Host
West Town,Entire home/apt,90.0,48,8,Multi-listing Host
West Town,Entire home/apt,158.0,62,8,Multi-listing Host
Albany Park,Entire home/apt,104.0,99,8,Multi-listing Host
Lake View,Entire home/apt,58.0,46,8,Multi-listing Host
Logan Square,Entire home/apt,60.0,92,11,Multi-listing Host
Lake View,Entire home/apt,58.0,71,8,Multi-listing Host
Rogers Park,Entire home/apt,57.0,84,8,Multi-listing Host
West Town,Entire home/apt,82.0,8,2,Multi-listing Host
Rogers Park,Entire home/apt,81.0,51,8,Multi-listing Host
Uptown,Entire home/apt,119.0,96,3,Multi-listing Host
Loop,Entire home/apt,106.0,34,39,Multi-listing Host
Uptown,Entire home/apt,52.0,157,16,Multi-listing Host
North Center,Entire home/apt,160.0,148,1,Single-listing Host
Lower West Side,Entire home/apt,86.0,103,23,Multi-listing Host
Near North Side,Entire home/apt,354.0,78,1,Single-listing Host
Uptown,Entire home/apt,52.0,156,16,Multi-listing Host
Uptown,Entire home/apt,52.0,151,16,Multi-listing Host
Portage Park,Entire home/apt,65.0,71,10,Multi-listing Host
Bridgeport,Entire home/apt,150.0,2,2,Multi-listing Host
Near West Side,Entire home/apt,122.0,1,520,Multi-listing Host
Near North Side,Entire home/apt,107.0,0,520,Multi-listing Host
Portage Park,Entire home/apt,110.0,71,1,Single-listing Host
West Town,Entire home/apt,150.0,12,1,Single-listing Host
Lake View,Private room,60.0,96,1,Single-listing Host
Woodlawn,Entire home/apt,118.0,0,1,Single-listing Host
Lake View,Entire home/apt,58.0,64,8,Multi-listing Host
Lake View,Entire home/apt,58.0,96,8,Multi-listing Host
Lake View,Entire home/apt,58.0,87,8,Multi-listing Host
Lake View,Entire home/apt,58.0,51,8,Multi-listing Host
Lake View,Entire home/apt,66.0,115,7,Multi-listing Host
Lake View,Entire home/apt,58.0,68,8,Multi-listing Host
West Town,Entire home/apt,167.0,4,1,Single-listing Host
Lake View,Entire home/apt,136.0,1,520,Multi-listing Host
Lake View,Entire home/apt,203.0,0,520,Multi-listing Host
West Ridge,Entire home/apt,92.0,0,1,Single-listing Host
Near North Side,Entire home/apt,248.0,127,52,Multi-listing Host
Near North Side,Entire home/apt,361.0,22,52,Multi-listing Host
Near North Side,Entire home/apt,263.0,98,52,Multi-listing Host
Near North Side,Entire home/apt,416.0,70,52,Multi-listing Host
Near North Side,Entire home/apt,518.0,66,52,Multi-listing Host
Near North Side,Entire home/apt,289.0,24,52,Multi-listing Host
Near North Side,Entire home/apt,667.0,135,52,Multi-listing Host
Near South Side,Entire home/apt,109.0,2,520,Multi-listing Host
New City,Entire home/apt,119.0,59,2,Multi-listing Host
Douglas,Entire home/apt,230.0,15,1,Single-listing Host
Uptown,Entire home/apt,58.0,104,7,Multi-listing Host
Clearing,Private room,,8,1,Single-listing Host
West Town,Entire home/apt,136.0,81,1,Single-listing Host
Loop,Entire home/apt,350.0,0,1,Single-listing Host
Near North Side,Entire home/apt,98.0,5,19,Multi-listing Host
Lower West Side,Entire home/apt,125.0,97,1,Single-listing Host
Lake View,Private room,1006.0,0,1,Single-listing Host
Near South Side,Entire home/apt,106.0,0,520,Multi-listing Host
Loop,Entire home/apt,104.0,0,520,Multi-listing Host
Near North Side,Entire home/apt,135.0,110,21,Multi-listing Host
Near South Side,Entire home/apt,121.0,1,520,Multi-listing Host
Austin,Entire home/apt,121.0,30,2,Multi-listing Host
Albany Park,Entire home/apt,392.0,134,3,Multi-listing Host
Near West Side,Private room,79.0,29,4,Multi-listing Host
Near North Side,Entire home/apt,,3,36,Multi-listing Host
Near North Side,Entire home/apt,154.0,0,1,Single-listing Host
Near North Side,Entire home/apt,144.0,4,5,Multi-listing Host
Near North Side,Entire home/apt,135.0,3,5,Multi-listing Host
Near West Side,Entire home/apt,115.0,0,59,Multi-listing Host
Near North Side,Entire home/apt,444.0,114,5,Multi-listing Host
Lower West Side,Entire home/apt,61.0,3,12,Multi-listing Host
Mckinley Park,Entire home/apt,195.0,44,1,Single-listing Host
West Town,Entire home/apt,82.0,4,3,Multi-listing Host
Lake View,Entire home/apt,65.0,3,25,Multi-listing Host
Albany Park,Entire home/apt,125.0,28,3,Multi-listing Host
Logan Square,Entire home/apt,399.0,56,3,Multi-listing Host
Lower West Side,Entire home/apt,95.0,69,4,Multi-listing Host
Rogers Park,Entire home/apt,76.0,62,7,Multi-listing Host
Brighton Park,Shared room,31.0,5,1,Single-listing Host
Near West Side,Entire home/apt,306.0,13,15,Multi-listing Host
Near North Side,Entire home/apt,3000.0,30,2,Multi-listing Host
Lower West Side,Entire home/apt,639.0,0,1,Single-listing Host
Lincoln Park,Entire home/apt,2500.0,11,1,Single-listing Host
Loop,Entire home/apt,182.0,102,7,Multi-listing Host
Irving Park,Entire home/apt,67.0,2,1,Single-listing Host
Near South Side,Entire home/apt,154.0,43,68,Multi-listing Host
West Town,Entire home/apt,440.0,93,27,Multi-listing Host
Uptown,Entire home/apt,82.0,77,2,Multi-listing Host
Uptown,Entire home/apt,105.0,77,1,Single-listing Host
Near West Side,Entire home/apt,143.0,18,3,Multi-listing Host
Bridgeport,Entire home/apt,78.0,176,11,Multi-listing Host
West Town,Entire home/apt,195.0,104,2,Multi-listing Host
Montclare,Entire home/apt,163.0,75,1,Single-listing Host
West Ridge,Entire home/apt,82.0,114,23,Multi-listing Host
Near West Side,Entire home/apt,,0,9,Multi-listing Host
Near South Side,Entire home/apt,112.0,0,520,Multi-listing Host
Near South Side,Entire home/apt,150.0,48,23,Multi-listing Host
Near South Side,Entire home/apt,167.0,51,23,Multi-listing Host
Irving Park,Entire home/apt,135.0,43,1,Single-listing Host
Mckinley Park,Entire home/apt,210.0,86,1,Single-listing Host
Near West Side,Entire home/apt,,1,520,Multi-listing Host
Near West Side,Entire home/apt,90.0,0,520,Multi-listing Host
Near West Side,Entire home/apt,122.0,0,520,Multi-listing Host
Lincoln Park,Shared room,43.0,2,6,Multi-listing Host
Near North Side,Entire home/apt,202.0,69,21,Multi-listing Host
Logan Square,Entire home/apt,128.0,77,2,Multi-listing Host
Logan Square,Entire home/apt,148.0,39,1,Single-listing Host
West Town,Entire home/apt,110.0,65,4,Multi-listing Host
Loop,Entire home/apt,339.0,49,92,Multi-listing Host
Loop,Entire home/apt,339.0,28,92,Multi-listing Host
North Lawndale,Entire home/apt,218.0,68,1,Single-listing Host
Edgewater,Entire home/apt,272.0,29,1,Single-listing Host
Irving Park,Private room,55.0,21,1,Single-listing Host
Near North Side,Entire home/apt,221.0,79,21,Multi-listing Host
Dunning,Entire home/apt,139.0,6,2,Multi-listing Host
Irving Park,Entire home/apt,,3,2,Multi-listing Host
Norwood Park,Entire home/apt,,0,9,Multi-listing Host
Woodlawn,Entire home/apt,294.0,4,17,Multi-listing Host
Clearing,Entire home/apt,399.0,0,9,Multi-listing Host
West Lawn,Private room,45.0,2,4,Multi-listing Host
North Center,Entire home/apt,92.0,63,4,Multi-listing Host
Uptown,Entire home/apt,52.0,148,16,Multi-listing Host
Uptown,Entire home/apt,52.0,153,16,Multi-listing Host
Uptown,Entire home/apt,52.0,135,16,Multi-listing Host
North Lawndale,Entire home/apt,161.0,9,3,Multi-listing Host
Clearing,Entire home/apt,399.0,0,4,Multi-listing Host
Clearing,Entire home/apt,399.0,1,4,Multi-listing Host
North Lawndale,Entire home/apt,354.0,0,3,Multi-listing Host
Clearing,Entire home/apt,399.0,0,9,Multi-listing Host
Loop,Entire home/apt,329.0,36,92,Multi-listing Host
Logan Square,Entire home/apt,175.0,112,21,Multi-listing Host
Near West Side,Entire home/apt,313.0,3,1,Single-listing Host
Mckinley Park,Entire home/apt,127.0,17,27,Multi-listing Host
Lake View,Entire home/apt,220.0,58,1,Single-listing Host
Lincoln Park,Shared room,31.0,3,6,Multi-listing Host
Loop,Entire home/apt,360.0,45,92,Multi-listing Host
Loop,Entire home/apt,122.0,0,520,Multi-listing Host
Lincoln Park,Entire home/apt,343.0,102,1,Single-listing Host
West Town,Private room,48.0,49,3,Multi-listing Host
Loop,Entire home/apt,102.0,1,520,Multi-listing Host
Loop,Entire home/apt,124.0,0,520,Multi-listing Host
Near West Side,Entire home/apt,132.0,0,520,Multi-listing Host
Woodlawn,Entire home/apt,79.0,18,5,Multi-listing Host
Near West Side,Entire home/apt,102.0,1,520,Multi-listing Host
Belmont Cragin,Entire home/apt,549.0,44,2,Multi-listing Host
Near North Side,Entire home/apt,194.0,3,24,Multi-listing Host
Near North Side,Entire home/apt,181.0,2,24,Multi-listing Host
West Town,Entire home/apt,129.0,83,1,Single-listing Host
Near North Side,Entire home/apt,194.0,0,24,Multi-listing Host
Near North Side,Entire home/apt,297.0,3,24,Multi-listing Host
Near North Side,Entire home/apt,297.0,0,24,Multi-listing Host
Lincoln Square,Entire home/apt,160.0,1,3,Multi-listing Host
Avondale,Entire home/apt,107.0,94,1,Single-listing Host
Lake View,Private room,29.0,80,4,Multi-listing Host
Calumet Heights,Entire home/apt,92.0,59,1,Single-listing Host
Near West Side,Entire home/apt,400.0,36,1,Single-listing Host
Near South Side,Entire home/apt,156.0,57,68,Multi-listing Host
Near South Side,Entire home/apt,102.0,96,68,Multi-listing Host
Douglas,Entire home/apt,,4,1,Single-listing Host
West Town,Private room,47.0,56,3,Multi-listing Host
West Town,Entire home/apt,850.0,17,2,Multi-listing Host
Grand Boulevard,Private room,89.0,1,5,Multi-listing Host
Uptown,Entire home/apt,259.0,0,1,Single-listing Host
Lower West Side,Entire home/apt,46.0,44,9,Multi-listing Host
Near South Side,Entire home/apt,109.0,71,68,Multi-listing Host
Lake View,Entire home/apt,95.0,3,4,Multi-listing Host
Lake View,Entire home/apt,62.0,97,10,Multi-listing Host
South Deering,Entire home/apt,231.0,5,1,Single-listing Host
Dunning,Entire home/apt,174.0,40,1,Single-listing Host
Near North Side,Entire home/apt,133.0,67,1,Single-listing Host
North Center,Entire home/apt,104.0,82,6,Multi-listing Host
Avondale,Entire home/apt,69.0,93,10,Multi-listing Host
East Garfield Park,Entire home/apt,309.0,79,4,Multi-listing Host
West Town,Entire home/apt,,4,1,Single-listing Host
Near South Side,Entire home/apt,124.0,90,68,Multi-listing Host
Lake View,Entire home/apt,113.0,1,520,Multi-listing Host
Near West Side,Entire home/apt,100.0,2,520,Multi-listing Host
Washington Heights,Entire home/apt,110.0,0,1,Single-listing Host
Rogers Park,Entire home/apt,127.0,20,27,Multi-listing Host
South Chicago,Private room,52.0,14,4,Multi-listing Host
Irving Park,Entire home/apt,74.0,46,6,Multi-listing Host
Avondale,Entire home/apt,251.0,120,2,Multi-listing Host
Near South Side,Entire home/apt,119.0,0,520,Multi-listing Host
Lake View,Entire home/apt,66.0,107,10,Multi-listing Host
Avondale,Entire home/apt,110.0,10,2,Multi-listing Host
Near South Side,Entire home/apt,141.0,42,68,Multi-listing Host
Lake View,Entire home/apt,464.0,3,1,Single-listing Host
Near West Side,Entire home/apt,89.0,0,520,Multi-listing Host
Near West Side,Entire home/apt,178.0,0,520,Multi-listing Host
Lincoln Park,Entire home/apt,140.0,2,520,Multi-listing Host
Lincoln Square,Entire home/apt,122.0,22,2,Multi-listing Host
Dunning,Entire home/apt,130.0,0,1,Single-listing Host
Woodlawn,Entire home/apt,214.0,3,2,Multi-listing Host
Logan Square,Entire home/apt,156.0,79,1,Single-listing Host
South Shore,Entire home/apt,,19,1,Single-listing Host
West Town,Entire home/apt,598.0,65,92,Multi-listing Host
West Town,Entire home/apt,581.0,48,92,Multi-listing Host
Lincoln Square,Entire home/apt,79.0,119,11,Multi-listing Host
Loop,Entire home/apt,119.0,0,520,Multi-listing Host
Loop,Entire home/apt,86.0,1,520,Multi-listing Host
Near West Side,Entire home/apt,128.0,0,520,Multi-listing Host
Near West Side,Entire home/apt,130.0,0,520,Multi-listing Host
Near North Side,Entire home/apt,106.0,1,520,Multi-listing Host
Near South Side,Entire home/apt,113.0,0,520,Multi-listing Host
Near North Side,Entire home/apt,415.0,61,92,Multi-listing Host
Near West Side,Entire home/apt,244.0,4,9,Multi-listing Host
Jefferson Park,Entire home/apt,437.0,64,2,Multi-listing Host
West Town,Entire home/apt,103.0,89,1,Single-listing Host
Near North Side,Entire home/apt,285.0,36,1,Single-listing Host
West Englewood,Private room,78.0,18,8,Multi-listing Host
Roseland,Entire home/apt,119.0,26,1,Single-listing Host
Avondale,Entire home/apt,71.0,10,2,Multi-listing Host
Austin,Entire home/apt,79.0,43,2,Multi-listing Host
Uptown,Entire home/apt,99.0,25,1,Single-listing Host
Kenwood,Entire home/apt,190.0,41,3,Multi-listing Host
Near North Side,Entire home/apt,145.0,5,6,Multi-listing Host
Edgewater,Entire home/apt,97.0,117,10,Multi-listing Host
Hyde Park,Entire home/apt,405.0,1,1,Single-listing Host
Logan Square,Entire home/apt,452.0,51,1,Single-listing Host
Uptown,Entire home/apt,57.0,36,25,Multi-listing Host
Grand Boulevard,Entire home/apt,120.0,19,2,Multi-listing Host
Near West Side,Entire home/apt,124.0,0,520,Multi-listing Host
Near South Side,Entire home/apt,151.0,0,520,Multi-listing Host
Humboldt Park,Entire home/apt,53.0,72,7,Multi-listing Host
Loop,Entire home/apt,311.0,146,4,Multi-listing Host
Logan Square,Entire home/apt,531.0,49,1,Single-listing Host
East Garfield Park,Entire home/apt,109.0,18,9,Multi-listing Host
Logan Square,Entire home/apt,325.0,2,2,Multi-listing Host
Near South Side,Entire home/apt,150.0,100,68,Multi-listing Host
Near South Side,Entire home/apt,156.0,63,23,Multi-listing Host
Lake View,Entire home/apt,445.0,63,1,Single-listing Host
Lake View,Entire home/apt,169.0,103,1,Single-listing Host
Austin,Entire home/apt,425.0,9,1,Single-listing Host
Near West Side,Entire home/apt,266.0,2,9,Multi-listing Host
Lower West Side,Entire home/apt,200.0,6,2,Multi-listing Host
Loop,Entire home/apt,205.0,76,24,Multi-listing Host
Logan Square,Private room,,66,1,Single-listing Host
Near South Side,Entire home/apt,238.0,11,7,Multi-listing Host
West Town,Entire home/apt,111.0,29,19,Multi-listing Host
Logan Square,Entire home/apt,105.0,45,1,Single-listing Host
West Town,Entire home/apt,172.0,32,1,Single-listing Host
West Ridge,Entire home/apt,58.0,35,12,Multi-listing Host
Near North Side,Entire home/apt,135.0,4,6,Multi-listing Host
South Chicago,Shared room,25.0,11,6,Multi-listing Host
Loop,Entire home/apt,125.0,0,520,Multi-listing Host
Near West Side,Entire home/apt,201.0,1,520,Multi-listing Host
Logan Square,Entire home/apt,98.0,38,1,Single-listing Host
Lake View,Private room,27.0,95,4,Multi-listing Host
Lake View,Private room,29.0,70,4,Multi-listing Host
Irving Park,Entire home/apt,157.0,63,1,Single-listing Host
Lake View,Private room,27.0,10,4,Multi-listing Host
Lincoln Square,Entire home/apt,129.0,60,1,Single-listing Host
Belmont Cragin,Entire home/apt,147.0,24,1,Single-listing Host
West Town,Entire home/apt,108.0,32,2,Multi-listing Host
West Town,Entire home/apt,175.0,35,1,Single-listing Host
Grand Boulevard,Entire home/apt,125.0,21,1,Single-listing Host
Loop,Entire home/apt,121.0,0,520,Multi-listing Host
Lincoln Park,Entire home/apt,126.0,78,1,Single-listing Host
Loop,Entire home/apt,372.0,38,92,Multi-listing Host
Bridgeport,Entire home/apt,66.0,84,4,Multi-listing Host
Bridgeport,Entire home/apt,100.0,97,5,Multi-listing Host
Albany Park,Private room,84.0,41,2,Multi-listing Host
South Lawndale,Private room,50.0,3,1,Single-listing Host
Near South Side,Entire home/apt,121.0,0,520,Multi-listing Host
Near South Side,Entire home/apt,197.0,0,520,Multi-listing Host
Near South Side,Entire home/apt,114.0,0,520,Multi-listing Host
Near North Side,Entire home/apt,100.0,1,520,Multi-listing Host
Edgewater,Entire home/apt,205.0,89,1,Single-listing Host
Bridgeport,Entire home/apt,86.0,97,5,Multi-listing Host
Loop,Entire home/apt,124.0,0,520,Multi-listing Host
Loop,Entire home/apt,,10,1,Single-listing Host
Near West Side,Entire home/apt,129.0,0,520,Multi-listing Host
Loop,Entire home/apt,123.0,1,520,Multi-listing Host
Lincoln Park,Shared room,35.0,1,6,Multi-listing Host
Irving Park,Entire home/apt,98.0,1,3,Multi-listing Host
Lower West Side,Private room,100.0,32,1,Single-listing Host
Rogers Park,Entire home/apt,190.0,64,2,Multi-listing Host
Near South Side,Entire home/apt,156.0,0,520,Multi-listing Host
West Town,Entire home/apt,99.0,5,1,Single-listing Host
Lincoln Park,Entire home/apt,196.0,98,1,Single-listing Host
South Shore,Entire home/apt,72.0,9,9,Multi-listing Host
